program,year,happy,field_interest,team_responsible,professor,work_setting,work_outfit,start_work,design,analyze,gather_information,prefer,part_of,working_on,cause,goals,conversation,develop,working_with,leader,gender
Computer Engineering,2,Yes,Software Development,The Internet,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,People,No,Male
Computer Engineering,4,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Focused team,Continuously change and update requirements as you go,Human Rights,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Computer Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Write,Focused team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,No,Male
Computer Engineering,Alumni,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Read,Focused team,Know all the requirements for the project at the beginning,Environment,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,No,Male
Computer Engineering,1,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Physics,Computers,Yes,Male
Computer Engineering,1,Yes,Software Development,The Robot,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Today,A factory that is able to 100% rely on robotics while producing no defected products,Physics,Computers,Yes,Female
Computer Engineering,2,Yes,Software Development,The Internet,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Computer Engineering,2,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,One year from now,A microchip that is smaller than usual but twice as powerful as before,Physics,Machinery,Yes,Male
Computer Engineering,2,Yes,Software Development,The Internet,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Computers,No,Male
Computer Engineering,2,Yes,Software Development,The Internet,"Mark Zuckerberg, Founder of Facebook",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Write,Focused team,Continuously change and update requirements as you go,Environment,Today,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Computers,Yes,Male
Computer Engineering,3,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Computers,No,Female
Computer Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,Computers,Yes,Female
Computer Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Computer Engineering,2,Yes,Software Development,The Robot,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Write,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Computers,Yes,Male
Computer Engineering,2,Yes,Software Development,The Internet,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Female
Computer Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Listen,Focused team,Continuously change and update requirements as you go,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Math,Computers,Yes,Male
Computer Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Computer Engineering,2,Yes,Software Development,The Robot,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Computer Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Computer Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Listen,Focused team,Continuously change and update requirements as you go,Health,Today,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Computers,Yes,Male
Computer Engineering,3,Yes,Research,The Automobile,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Computers,Yes,Male
Computer Engineering,2,Yes,Software Development,The Internet,"David Suzuki, Environmental Activist",In the outdoors,Extremely Casual,Work in a start up,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,People,No,Male
Electrical Engineering,3,Yes,Research,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Human Rights,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,Computers,Yes,Female
Electrical Engineering,2,Yes,Research,The Internet,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work in a start up,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Read,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Electrical Engineering,Alumni,Yes,Manufacturing,The Internet,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Computers,No,Male
Electrical Engineering,3,Yes,Construction,Solar Panels,"Elon Musk, Founder of Tesla",In an office,Formal,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,Yes,Male
Electrical Engineering,3,Yes,Research,The Automobile,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,No,Male
Electrical Engineering,3,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Machinery,No,Female
Electrical Engineering,2,Yes,Software Development,Solar Panels,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Environment,Today,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Computers,Yes,Male
Electrical Engineering,2,Yes,Software Development,The Robot,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Focused team,Continuously change and update requirements as you go,Environment,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Computers,No,I choose not to specify
Electrical Engineering,3,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,No,Male
Electrical Engineering,2,Yes,Software Development,The Robot,"Warren Buffett, Billionaire American Business Men",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Environment,Today,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,Computers,Yes,Male
Electrical Engineering,Alumni,Yes,Research,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Machinery,No,Female
Electrical Engineering,Alumni,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Human Rights,A week from now,A microchip that is smaller than usual but twice as powerful as before,Math,Computers,Yes,Male
Electrical Engineering,1,Yes,Software Development,Solar Panels,"David Suzuki, Environmental Activist",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Write,Focused team,Know all the requirements for the project at the beginning,Environment,A week from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,People,No,Male
Electrical Engineering,Alumni,Yes,Software Development,The Robot,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Computers,Yes,Male
Electrical Engineering,2,Yes,Finance,The Internet,"Warren Buffett, Billionaire American Business Men",In an office,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By talking to the people who use the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes,Female
Electrical Engineering,Alumni,Yes,Finance,Solar Panels,"Warren Buffett, Billionaire American Business Men",In an office,Formal,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,People,No,Male
Electrical Engineering,1,Yes,Finance,Solar Panels,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Talk,Focused team,Continuously change and update requirements as you go,Environment,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,Yes,Male
Electrical Engineering,1,Yes,Finance,Solar Panels,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,Today,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,People,Yes,Female
Electrical Engineering,3,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Listen,Focused team,Continuously change and update requirements as you go,Health,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,No,Male
Electrical Engineering,2,Yes,Research,Solar Panels,"David Suzuki, Environmental Activist",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Physics,People,Yes,Male
Electrical Engineering,3,Yes,Manufacturing,The Robot,"Warren Buffett, Billionaire American Business Men",In an office,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,Yes,Male
Electrical Engineering,2,Yes,Manufacturing,The Robot,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Environment,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,No,Female
Electrical Engineering,2,Yes,Research,The Internet,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Write,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A week from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,No,Male
Electrical Engineering,2,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Environment,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Machinery,No,Male
Electrical Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Male
Electrical Engineering,3,Yes,Manufacturing,The Robot,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A week from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,No,Female
Electrical Engineering,2,Yes,Finance,The Automobile,"Warren Buffett, Billionaire American Business Men",In an office,Formal,Work for a large corporation,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Human Rights,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,People,Yes,Male
Electrical Engineering,3,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,Computers,Yes,Male
Electrical Engineering,3,Yes,Software Development,The Internet,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By talking to the people who use the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,Today,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes,Male
Electrical Engineering,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,No,Female
Electrical Engineering,3,Yes,Software Development,Solar Panels,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Math,People,Yes,Female
Electrical Engineering,3,Yes,Finance,The Internet,"Warren Buffett, Billionaire American Business Men",In the outdoors,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By talking to the people who use the system,Listen,Focused team,Know all the requirements for the project at the beginning,Human Rights,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,Business Processes,No,Male
Environmental Engineering,4,Yes,Research,The Internet,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Write,Multidisciplinary team,Continuously change and update requirements as you go,Bringing Technology to developing countries,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Math,Computers,Yes,Female
Environmental Engineering,4,Yes,Construction,The CN Tower,"Elon Musk, Founder of Tesla",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Focused team,Continuously change and update requirements as you go,Environment,A week from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes,Female
Environmental Engineering,4,Yes,Construction,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By talking to the people who use the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A week from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,No,Female
Environmental Engineering,3,Yes,Construction,Solar Panels,"David Suzuki, Environmental Activist",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,No,Female
Environmental Engineering,3,Yes,Research,Solar Panels,"David Suzuki, Environmental Activist",In a laboratory,Protective Clothing,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Physics,Machinery,Yes,I choose not to specify
Environmental Engineering,1,Yes,Research,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,Machinery,Yes,Female
Environmental Engineering,2,Yes,Construction,Penicillin,"David Suzuki, Environmental Activist",In the outdoors,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Multidisciplinary team,Continuously change and update requirements as you go,Environment,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Physics,People,Yes,Female
Environmental Engineering,1,Yes,Construction,Solar Panels,"David Suzuki, Environmental Activist",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By talking to the people who use the system,Talk,Focused team,Know all the requirements for the project at the beginning,Environment,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,No,Male
Environmental Engineering,1,Yes,Research,Solar Panels,"David Suzuki, Environmental Activist",In a laboratory,Protective Clothing,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the internal components of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Environment,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Physics,People,No,Male
Environmental Engineering,1,Yes,Construction,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Read,Focused team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,People,Yes,Female
Environmental Engineering,4,Yes,Research,The Internet,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Read,Focused team,Continuously change and update requirements as you go,Environment,A week from now,A microchip that is smaller than usual but twice as powerful as before,Math,Computers,No,Male
Environmental Engineering,4,Yes,Research,Solar Panels,"David Suzuki, Environmental Activist",In the outdoors,Protective Clothing,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,No,Female
Environmental Engineering,2,Yes,Research,Solar Panels,"Elon Musk, Founder of Tesla",In the outdoors,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Environment,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Physics,People,Yes,Male
Environmental Engineering,2,Yes,Research,Solar Panels,"David Suzuki, Environmental Activist",In the outdoors,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Today,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Math,People,Yes,Female
Environmental Engineering,1,Yes,Research,The CN Tower,"Warren Buffett, Billionaire American Business Men",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,Today,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Math,People,No,Female
Environmental Engineering,Alumni,Yes,Construction,Solar Panels,"David Suzuki, Environmental Activist",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Environmental Engineering,Alumni,Yes,Construction,The CN Tower,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Environmental Engineering,1,Yes,Manufacturing,Solar Panels,"David Suzuki, Environmental Activist",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By talking to the people who use the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Environment,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Environmental Engineering,Alumni,Yes,Research,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Continuously change and update requirements as you go,Environment,A week from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Life Science,People,Yes,Female
Environmental Engineering,3,Yes,Construction,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,One year from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,People,Yes,Female
Geological Engineering,4,Yes,Finance,The CN Tower,"Warren Buffett, Billionaire American Business Men",In an office,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By talking to the people who use the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth劌製 surface to protect buildings from earthquakes,Technology,People,Yes,Male
